age,study_hours,attendance_percentage,math_score,science_score,english_score,overall_score,travel_time_min,gender_male,gender_other,school_type_encoded,parent_education_encoded,internet_access_encoded,extra_activities_encoding,study_method_group_study,study_method_mixed,study_method_notes,study_method_online_videos,study_method_textbook,final_grade_encoded
14,3.1,84.3,42.7,55.4,57.0,53.1,7.5,1,0,0,4.0,1,1,0,0,1,0,0,4
18,3.7,87.8,57.6,68.8,64.8,61.3,75.0,0,0,0,3.0,1,0,0,0,0,0,1,3
17,7.9,65.5,84.8,95.0,79.2,89.6,7.5,0,0,1,4.0,0,0,0,0,1,0,0,1
16,1.1,58.1,44.4,27.5,54.7,41.6,22.5,0,1,0,1.0,0,0,0,0,1,0,0,4
16,1.3,61.0,8.9,32.7,30.0,25.4,45.0,0,0,0,1.0,1,1,1,0,0,0,0,5
19,3.8,69.6,51.5,78.3,63.9,63.5,75.0,1,0,0,0.0,1,1,0,0,0,0,0,3
14,1.8,81.6,41.9,29.4,39.2,39.1,45.0,0,0,1,4.0,1,0,0,0,0,0,1,5
18,5.6,59.4,56.7,60.1,53.4,69.6,75.0,0,0,1,4.0,1,1,1,0,0,0,0,3
15,3.2,89.6,54.1,59.5,38.3,55.2,22.5,0,1,1,1.0,1,1,0,1,0,0,0,3
14,6.8,62.4,71.9,70.4,81.3,69.6,75.0,0,0,0,2.0,1,0,0,1,0,0,0,3
17,6.1,90.5,75.4,82.7,70.8,77.5,22.5,0,0,1,3.0,1,0,0,0,1,0,0,2
19,4.0,96.2,62.0,54.7,58.0,65.0,7.5,0,1,0,4.0,1,1,0,0,1,0,0,3
18,6.8,58.2,75.1,80.5,56.2,73.6,75.0,0,0,1,1.0,1,0,0,1,0,0,0,2
18,1.3,95.9,33.6,26.8,50.0,42.5,45.0,0,1,0,2.0,1,1,0,0,0,0,1,4
18,4.9,85.3,88.1,66.1,70.3,69.3,7.5,0,1,0,1.0,1,0,0,0,0,0,0,3
18,5.0,94.4,66.4,76.9,76.1,73.7,22.5,0,1,1,4.0,1,1,0,0,0,0,0,2
17,2.3,67.3,63.1,46.3,57.1,53.5,7.5,0,1,1,5.0,1,1,0,1,0,0,0,4
14,0.9,93.2,57.2,50.5,54.1,49.8,22.5,0,0,0,4.0,1,1,0,0,0,1,0,4
19,4.5,73.8,38.7,69.9,58.3,59.2,45.0,1,0,0,4.0,1,1,0,0,0,1,0,3
16,4.4,59.5,49.9,53.9,60.4,61.9,7.5,0,0,0,4.0,1,0,0,1,0,0,0,3
17,5.4,99.8,84.9,77.6,77.6,81.3,75.0,1,0,1,5.0,1,0,0,0,0,0,1,2
16,2.1,97.4,76.7,31.9,39.3,55.0,75.0,0,0,0,2.0,1,1,1,0,0,0,0,3
15,1.8,56.2,41.3,35.2,19.9,33.5,45.0,0,1,0,1.0,0,1,0,0,0,1,0,5
19,7.8,72.8,100.0,100.0,100.0,94.6,22.5,0,0,0,5.0,1,1,0,0,1,0,0,1
18,1.4,99.3,38.9,31.2,57.3,41.4,7.5,1,0,0,0.0,1,0,0,1,0,0,0,4
17,8.0,77.4,100.0,87.7,69.3,92.5,75.0,1,0,1,2.0,1,0,0,0,0,0,0,1
16,5.9,74.9,94.6,92.8,86.9,82.5,22.5,0,1,0,4.0,1,0,0,0,0,0,1,2
18,5.2,59.8,42.9,89.9,63.4,75.4,7.5,0,1,1,4.0,1,1,0,0,0,0,1,2
17,3.0,71.0,40.5,44.5,68.1,45.1,22.5,0,0,1,4.0,1,0,0,1,0,0,0,4
16,7.0,74.9,76.1,73.5,71.7,82.6,75.0,0,1,0,2.0,1,1,0,0,0,0,1,2
16,7.3,85.7,79.6,86.0,95.4,90.4,45.0,0,1,1,5.0,1,1,1,0,0,0,0,1
15,5.9,72.5,79.3,82.5,77.4,77.1,75.0,0,0,1,1.0,1,1,0,0,0,0,1,2
14,5.8,81.7,94.5,72.1,84.8,78.8,45.0,1,0,1,0.0,1,1,0,0,1,0,0,2
17,4.2,55.1,60.5,57.4,72.9,62.2,22.5,0,1,0,3.0,0,0,0,0,0,0,0,3
19,1.1,88.2,39.8,39.6,36.5,46.9,45.0,0,0,0,1.0,1,0,0,0,0,0,0,4
14,8.0,50.2,93.1,99.8,100.0,90.4,45.0,0,1,1,2.0,1,0,0,0,0,1,0,1
19,0.6,82.1,45.9,43.5,35.0,42.0,75.0,0,1,0,2.0,1,0,0,0,0,0,0,4
18,4.2,91.3,82.4,73.5,61.7,79.0,22.5,0,0,0,1.0,1,0,0,0,1,0,0,2
15,3.3,88.3,53.5,67.4,61.7,66.5,22.5,0,0,1,5.0,1,1,0,0,1,0,0,3
17,6.3,57.4,78.1,70.0,63.8,65.4,7.5,1,0,0,2.0,1,1,0,0,1,0,0,3
14,6.0,92.2,72.8,72.5,100.0,88.7,22.5,0,1,1,4.0,1,1,0,0,0,0,1,1
18,5.2,54.0,42.8,58.2,60.1,53.9,45.0,1,0,1,0.0,1,1,0,0,1,0,0,4
18,1.1,53.3,31.4,36.4,29.0,23.7,22.5,0,0,0,5.0,1,0,1,0,0,0,0,5
16,2.3,91.1,76.4,56.2,56.4,63.6,45.0,0,0,1,5.0,1,0,0,1,0,0,0,3
14,1.2,59.1,37.5,35.0,54.0,42.3,7.5,1,0,1,0.0,1,0,1,0,0,0,0,4
19,7.8,72.4,77.3,94.5,88.0,83.5,45.0,0,0,1,3.0,1,0,0,1,0,0,0,2
16,1.5,96.8,42.4,29.9,53.9,48.7,75.0,0,1,0,3.0,1,0,0,0,0,0,0,4
19,7.8,60.4,85.1,100.0,100.0,96.3,75.0,1,0,1,1.0,1,1,0,0,0,1,0,0
18,1.3,89.0,31.5,26.9,32.6,37.5,22.5,1,0,1,4.0,1,1,0,0,0,0,0,5
18,7.0,79.2,86.6,91.1,100.0,95.9,45.0,1,0,1,4.0,0,0,0,0,0,0,0,0
18,4.8,70.3,66.9,66.7,82.8,76.2,75.0,1,0,0,5.0,1,1,0,0,0,0,1,2
15,6.7,73.0,87.1,78.6,99.8,90.4,22.5,1,0,1,3.0,1,0,0,0,1,0,0,1
16,5.3,70.5,77.9,80.5,79.9,77.0,22.5,0,0,0,4.0,1,1,0,0,1,0,0,2
16,6.3,91.4,95.8,93.3,85.2,88.4,75.0,0,1,0,4.0,0,1,0,0,0,0,0,1
16,6.0,90.7,91.9,85.6,100.0,92.5,75.0,0,1,1,4.0,1,1,0,0,0,1,0,1
14,2.5,68.7,39.3,25.2,39.2,39.5,75.0,0,1,0,3.0,1,0,0,0,0,1,0,5
